sample_index,lead_i_adc,lead_ii_adc,lead_iii_sensor_adc,lead_i_derived,lead_ii_derived,lead_iii_derived,avr_derived,avl_derived,avf_derived
1943,1975,1977,45,1975,1977,2,-1976,986,990
1944,1947,1996,166,1947,1996,49,-1972,949,1022
1945,1873,2003,59,1873,2003,130,-1938,872,1066
1946,1903,2021,51,1903,2021,118,-1962,892,1070
1947,1907,2007,47,1907,2007,100,-1957,904,1054
1948,1816,1964,57,1816,1964,148,-1890,834,1056
1949,1834,1960,55,1834,1960,126,-1897,854,1043
1950,1869,1959,43,1869,1959,90,-1914,890,1024
1951,1802,1927,55,1802,1927,125,-1864,838,1026
1952,1771,1916,53,1771,1916,145,-1844,813,1030
1953,1827,1926,44,1827,1926,99,-1876,864,1012
1954,1800,1903,45,1800,1903,103,-1852,848,1003
1955,1745,1892,54,1745,1892,147,-1818,799,1020
1956,1797,1899,49,1797,1899,102,-1848,848,1000
1957,1801,1891,43,1801,1891,90,-1846,856,990
1958,1720,1876,55,1720,1876,156,-1798,782,1016
1959,1755,1891,52,1755,1891,136,-1823,810,1014
1960,1807,1901,41,1807,1901,94,-1854,856,998
1961,1745,1881,54,1745,1881,136,-1813,804,1008
1962,1742,1883,54,1742,1883,141,-1812,800,1012
1963,1819,1898,45,1819,1898,79,-1858,870,988
1964,1802,1883,135,1802,1883,81,-1842,860,982
1965,1754,1881,52,1754,1881,127,-1818,814,1004
1966,1819,1907,52,1819,1907,88,-1863,866,998
1967,1847,1919,45,1847,1919,72,-1883,888,996
1968,1823,1934,57,1823,1934,111,-1878,856,1022
1969,1891,1918,53,1891,1918,27,-1904,932,972
1970,1882,1805,41,1882,1805,-77,-1844,980,864
1971,1803,1689,47,1803,1689,-114,-1746,958,788
1972,1961,1789,51,1961,1789,-172,-1875,1066,808
1973,2449,2249,53,2449,2249,-200,-2349,1324,1024
1974,2683,2643,69,2683,2643,-40,-2663,1362,1302
1975,2504,2686,76,2504,2686,182,-2595,1161,1434
1976,2175,2475,69,2175,2475,300,-2325,938,1388
1977,1703,2090,51,1703,2090,387,-1896,658,1238
1978,1235,1703,53,1235,1703,468,-1469,384,1086
1979,1144,1567,43,1144,1567,423,-1356,360,995
1980,1301,1671,35,1301,1671,370,-1486,466,1020
1981,1435,1863,53,1435,1863,428,-1649,504,1146
1982,1591,2013,57,1591,2013,422,-1802,584,1218
1983,1798,2137,53,1798,2137,339,-1968,730,1238
1984,1852,2149,53,1852,2149,297,-2000,778,1223
1985,1821,2101,295,1821,2101,280,-1961,770,1190
1986,1875,2079,58,1875,2079,204,-1977,836,1142
1987,1885,2059,45,1885,2059,174,-1972,856,1116
1988,1819,2035,60,1819,2035,216,-1927,802,1126
1989,1867,2045,54,1867,2045,178,-1956,844,1112
1990,1934,2056,45,1934,2056,122,-1995,906,1089
1991,1892,2028,57,1892,2028,136,-1960,878,1082
1992,1890,2027,57,1890,2027,137,-1958,876,1082
1993,1959,2036,51,1959,2036,77,-1998,941,1056
1994,1943,2019,51,1943,2019,76,-1981,934,1048
1995,1894,2003,57,1894,2003,109,-1948,892,1056
1996,1967,2010,53,1967,2010,43,-1988,962,1026
1997,1995,2002,46,1995,2002,7,-1998,994,1004
1998,1929,1980,59,1929,1980,51,-1954,939,1016
1999,1973,2005,55,1973,2005,32,-1989,970,1018
